student_id,balance,phone,email,first_name,last_name,emergency_contact,spartan_card_no,department,course,enrollment_year
S712678357,31,(410) 292-2923,paulie.puttrell@gmx.de,Paulie,Puttrell,(410) 292-2923,26809991,Computer Science,BS (Artificial Intelligence),2024
S392678433,637,(713) 522-7555,raff.huguenet@gmail.com,Raff,Huguenet,(713) 522-7555,48473301,Law,BS (Corporate Law),2024
S822678368,728,(515) 084-2210,rowan.pedrozzi@yahoo.com,Rowan,Pedrozzi,(515) 084-2210,99449790,Anthropology,BS (Cultural Anthropology),2023
S952678399,253,(605) 037-0813,therine.nore@gmail.com,Therine,Nore,(605) 037-0813,95424977,Economics,BS (Development Economics),2024
S532678375,596,(405) 987-1859,shanta.zebedee@aol.com,Shanta,Zebedee,(405) 987-1859,98387200,Anthropology,BS (Cultural Anthropology),2023
S762678407,986,(562) 357-4899,ludwig.oluby@hotmail.com,Ludwig,O'Luby,(562) 357-4899,76661776,Statistics,BS (Statistical Modelling),2024
S182678421,213,(978) 145-8935,noni.bullus@gmail.com,Noni,Bullus,(978) 145-8935,79770159,Education,BS (Curriculum Studies),2024
S832678378,135,(941) 411-3782,lorant.duchesne@yahoo.fr,Lorant,Duchesne,(941) 411-3782,56541632,Biology,BS (Molecular Biology),2022
S292678432,512,(651) 119-6869,kirsten.tart@hotmail.com,Kirsten,Tart,(651) 119-6869,71862444,Linguistics,MS (Applied Linguistics),2025
S072678410,358,(704) 207-4715,harriett.wiburn@hotmail.com,Harriett,Wiburn,(704) 207-4715,84625326,Biology,BS (Molecular Biology),2025
S862678408,115,(202) 553-2502,micky.janik@wanadoo.fr,Micky,Janik,(202) 553-2502,92868347,Art,BS (Visual Arts),2024
S012678350,203,(480) 275-9140,morey.saer@yahoo.com,Morey,Saer,(480) 275-9140,73518140,Philosophy,BS (Ethics and Logic),2022
S362678403,107,(916) 028-5044,quintin.rawlings@msn.com,Quintin,Rawlings,(916) 028-5044,14624774,Art,BS (Visual Arts),2025
S092678430,72,(626) 275-5481,creighton.dingsdale@hotmail.co.uk,Creighton,Dingsdale,(626) 275-5481,71684087,Business,MBA (International Business),2024
S242678382,938,(770) 765-9617,dulcy.demendoza@aol.com,Dulcy,de Mendoza,(770) 765-9617,33048031,Business,MBA (International Business),2023
S812678358,522,(202) 196-2821,eilis.halversen@gmail.com,Eilis,Halversen,(202) 196-2821,85476239,Nursing,BSN (Clinical Nursing),2023
S912678359,941,(410) 903-1053,nathalie.pelchat@free.fr,Nathalie,Pelchat,(410) 903-1053,59989021,Philosophy,BS (Ethics and Logic),2022
S992678439,775,(415) 885-4257,sayres.yurinov@gmail.com,Sayres,Yurinov,(415) 885-4257,72851175,Mathematics,BS (Pure Mathematics),2025
S782678427,187,(907) 936-1962,regan.springthorp@yahoo.com,Regan,Springthorp,(907) 936-1962,32375497,Education,BS (Curriculum Studies),2023
S282678422,335,(757) 839-9979,tucker.ondrich@hotmail.co.uk,Tucker,Ondrich,(757) 839-9979,76396912,Anthropology,BS (Cultural Anthropology),2023
S312678353,44,(407) 216-2589,ange.buddell@hotmail.com,Ange,Buddell,(407) 216-2589,34054081,Environmental Science,BS (Environmental Policy),2023
S132678371,954,(718) 094-0336,kevina.scurman@msn.com,Kevina,Scurman,(718) 094-0336,94240864,Music,BS (Music Composition),2024
S422678364,492,(571) 665-0526,conway.blakeley@hotmail.fr,Conway,Blakeley,(571) 665-0526,90775347,Mathematics,BS (Pure Mathematics),2024
S492678434,391,(518) 017-2329,evey.hestrop@wanadoo.fr,Evey,Hestrop,(518) 017-2329,70072163,Political Science,BS (Political Theory),2023
S842678388,516,(407) 147-6808,sibella.causbey@yahoo.es,Sibella,Causbey,(407) 147-6808,40914277,Chemistry,BS (Analytical Chemistry),2025
S642678386,238,(571) 318-5319,max.titcumb@yahoo.com,Max,Titcumb,(571) 318-5319,73665086,Chemistry,BS (Analytical Chemistry),2022
S262678402,461,(602) 213-8085,will.rame@gmail.com,Will,Rame,(602) 213-8085,70287427,Computer Science,BS (Artificial Intelligence),2023
S692678436,914,(202) 656-1385,sisely.leyshon@hotmail.com,Sisely,Leyshon,(202) 656-1385,88851968,Economics,BS (Development Economics),2024
S172678411,503,(319) 729-5356,walt.burker@laposte.net,Walt,Burker,(319) 729-5356,51519341,Sociology,BS (Social Research),2022
S052678390,436,(225) 945-1030,ethan.borlease@freenet.de,Ethan,Borlease,(225) 945-1030,51200342,Law,BS (Corporate Law),2023
S932678379,914,(212) 415-2004,kali.gibbins@yahoo.com,Kali,Gibbins,(212) 415-2004,84658669,Nursing,BSN (Clinical Nursing),2023
S122678361,711,(862) 865-1395,ema.statersfield@hotmail.com,Ema,Statersfield,(862) 865-1395,67313415,Anthropology,BS (Cultural Anthropology),2025
S582678425,774,(615) 226-8890,nicky.cornejo@gmail.com,Nicky,Cornejo,(615) 226-8890,66342359,Geography,BS (Human Geography),2024
S232678372,897,(757) 987-7352,royall.abrahamowitcz@gmail.com,Royall,Abrahamowitcz,(757) 987-7352,29535928,Political Science,BS (Political Theory),2022
S682678426,662,(251) 438-5394,ethelyn.northen@hotmail.com,Ethelyn,Northen,(251) 438-5394,42734905,Education,BS (Curriculum Studies),2023
S352678393,411,(571) 689-0425,bianka.gremain@aol.com,Bianka,Gremain,(571) 689-0425,24922332,Anthropology,BS (Cultural Anthropology),2022
S852678398,964,(630) 327-6866,randee.scading@gmail.com,Randee,Scading,(630) 327-6866,31307159,Anthropology,BS (Cultural Anthropology),2024
S592678435,70,(757) 688-2030,becki.scott@live.com,Becki,Scott,(757) 688-2030,66893137,Statistics,BS (Statistical Modelling),2025
S062678400,113,(330) 329-7446,zonnya.butterly@orange.fr,Zonnya,Butterly,(330) 329-7446,75981560,Political Science,BS (Political Theory),2025
S342678383,410,(563) 543-6927,stevena.pinchon@gmail.com,Stevena,Pinchon,(563) 543-6927,60447751,Political Science,BS (Political Theory),2025
S432678374,660,(716) 697-7581,rochester.rutigliano@hotmail.com,Rochester,Rutigliano,(716) 697-7581,19081644,Geography,BS (Human Geography),2024
S892678438,832,(913) 601-8213,coralie.lenham@gmail.com,Coralie,Lenham,(913) 601-8213,37894911,Geography,BS (Human Geography),2025
S112678351,959,(305) 734-9785,elberta.blackeby@yahoo.com,Elberta,Blackeby,(305) 734-9785,15570623,Computer Science,BS (Artificial Intelligence),2024
S522678365,76,(312) 815-3503,bernadette.trevance@yahoo.com,Bernadette,Trevance,(312) 815-3503,33321504,Sociology,BS (Social Research),2024
S962678409,733,(520) 806-5781,torey.colbeck@msn.com,Torey,Colbeck,(520) 806-5781,55333124,Computer Science,BS (Artificial Intelligence),2023
S662678406,976,(816) 108-7932,shayne.oppery@gmail.com,Shayne,Oppery,(816) 108-7932,42701174,History,BS (Modern History),2023
S752678397,66,(718) 304-5801,aubrette.trett@hotmail.com,Aubrette,Trett,(718) 304-5801,96219012,Physics,BS (Theoretical Physics),2025
S382678423,592,(502) 141-8050,jori.gilberthorpe@aim.com,Jori,Gilberthorpe,(502) 141-8050,12296465,Anthropology,BS (Cultural Anthropology),2025
S732678377,997,(914) 477-3674,neall.bedburrow@hotmail.fr,Neall,Bedburrow,(914) 477-3674,67103196,Linguistics,MS (Applied Linguistics),2025
S142678381,551,(202) 974-8031,minta.semrad@hotmail.com,Minta,Semrad,(202) 974-8031,25724717,Art,BS (Visual Arts),2023
S482678424,504,(859) 365-8812,loree.izacenko@hotmail.com,Loree,Izacenko,(859) 365-8812,35243562,Psychology,MS (Industrial Psychology),2025
S222678362,516,(254) 078-9149,ingunna.schuchmacher@hotmail.com,Ingunna,Schuchmacher,(254) 078-9149,54614760,English,BS (English Literature),2024
S032678370,442,(860) 452-9606,wayne.pettigree@neuf.fr,Wayne,Pettigree,(860) 452-9606,44459004,Nursing,BSN (Clinical Nursing),2024
S272678412,894,(361) 110-2090,fidole.huckster@yahoo.com,Fidole,Huckster,(361) 110-2090,97109316,Psychology,MS (Industrial Psychology),2023
S882678428,819,(816) 194-2341,osborn.digg@yahoo.com,Osborn,Digg,(816) 194-2341,33212392,Theology,BS (Religious Studies),2023
S622678366,752,(410) 350-3353,anthiathia.aizlewood@rediffmail.com,Anthiathia,Aizlewood,(410) 350-3353,38806584,Computer Science,BS (Artificial Intelligence),2022
S922678369,79,(505) 004-8698,huey.grzes@gmail.com,Huey,Grzes,(505) 004-8698,51611130,Nursing,BSN (Clinical Nursing),2024
S372678413,49,(419) 037-6093,rycca.thunderman@hotmail.com,Rycca,Thunderman,(419) 037-6093,38796137,Business,MBA (International Business),2022
S512678355,694,(608) 988-0859,dolph.ever@hotmail.com,Dolph,Ever,(608) 988-0859,98150126,Linguistics,MS (Applied Linguistics),2023
S252678392,982,(858) 382-9129,rhys.sheed@msn.com,Rhys,Sheed,(858) 382-9129,37728802,History,BS (Modern History),2024
S872678418,687,(817) 044-4559,margarita.swainsbury@hotmail.com,Margarita,Swainsbury,(817) 044-4559,40154088,Theology,BS (Religious Studies),2025
S972678419,231,(770) 956-4819,gallard.chuck@aol.com,Gallard,Chuck,(770) 956-4819,64226742,Engineering,BS (Mechanical Engineering),2024
S722678367,393,(480) 905-5906,alaric.mcphail@gmail.com,Alaric,McPhail,(480) 905-5906,17778042,Geography,BS (Human Geography),2023
S082678420,771,(860) 898-5708,windham.taillard@uol.com.br,Windham,Taillard,(860) 898-5708,14294129,Environmental Science,BS (Environmental Policy),2022
S772678417,425,(269) 209-7084,loella.dealmeida@gmx.de,Loella,de Almeida,(269) 209-7084,16706050,Computer Science,BS (Artificial Intelligence),2025
S442678384,506,(315) 548-1556,creight.glaze@aol.com,Creight,Glaze,(315) 548-1556,57397204,Computer Science,BS (Artificial Intelligence),2023
S452678394,138,(972) 223-4650,marjory.birkbeck@yahoo.com,Marjory,Birkbeck,(972) 223-4650,79073993,Nursing,BSN (Clinical Nursing),2025
S472678414,144,(337) 279-4791,nicola.pitson@tin.it,Nicola,Pitson,(337) 279-4791,73344489,Statistics,BS (Statistical Modelling),2024
S632678376,988,(551) 683-5004,marcie.eykelbosch@gmail.com,Marcie,Eykelbosch,(551) 683-5004,45816511,Philosophy,BS (Ethics and Logic),2023
S462678404,49,(253) 270-6202,vaclav.hedditeh@yahoo.es,Vaclav,Hedditeh,(253) 270-6202,27894372,Environmental Science,BS (Environmental Policy),2023
S562678405,593,(805) 028-0744,kean.heathorn@tiscali.it,Kean,Heathorn,(805) 028-0744,43906319,Music,BS (Music Composition),2022
S022678360,102,(319) 037-6193,arline.doumic@gmail.com,Arline,Doumic,(319) 037-6193,80539909,Geography,BS (Human Geography),2022
S042678380,827,(360) 085-1123,heath.lorenzo@gmail.com,Heath,Lorenzo,(360) 085-1123,97772151,Engineering,BS (Mechanical Engineering),2025
S272678412,714,(301) 732-1585,tiff.ffrench@hotmail.com,Tiff,Ffrench,(301) 732-1585,20952045,Music,BS (Music Composition),2022
S112678351,450,(860) 272-5899,guss.pavluk@hotmail.com,Guss,Pavluk,(860) 272-5899,89978529,English,BS (English Literature),2025
S152678391,429,(312) 847-0548,nowell.dymock@gmail.com,Nowell,Dymock,(312) 847-0548,23061999,Political Science,BS (Political Theory),2022
S932678379,944,(603) 186-1793,jilleen.whiff@hotmail.com,Jilleen,Whiff,(603) 186-1793,58281681,Linguistics,MS (Applied Linguistics),2023
S372678413,242,(260) 925-0118,carlen.maidens@gmail.com,Carlen,Maidens,(260) 925-0118,31379870,Sociology,BS (Social Research),2025
S962678409,307,(904) 459-3608,gray.harford@live.com,Gray,Harford,(904) 459-3608,71761950,Psychology,MS (Industrial Psychology),2022
S072678410,415,(706) 514-5530,steffi.geaves@yahoo.com,Steffi,Geaves,(706) 514-5530,12272416,Economics,BS (Development Economics),2024
S042678380,292,(210) 352-9165,olivier.hackleton@uol.com.br,Olivier,Hackleton,(210) 352-9165,43054219,Economics,BS (Development Economics),2024
S212678352,987,(214) 506-7238,frazier.kemshell@hotmail.com,Frazier,Kemshell,(214) 506-7238,40347197,Theology,BS (Religious Studies),2022
S342678383,710,(650) 243-9790,horton.louch@gmx.de,Horton,Louch,(650) 243-9790,63436628,Business,MBA (International Business),2025
S602276804,147,(181) 960-0133,danielle.johnson@hotmail.com,Danielle,Johnson,(181) 960-0133,13999315,Geography,BS (Human Geography),2023
S250165258,488,(794) 026-5423,carolyn.hoffman@yahoo.com,Carolyn,Hoffman,(794) 026-5423,10872248,Business,MBA (International Business),2024
S863193008,235,(078) 161-8495,curtis.james@hotmail.com,Curtis,James,(078) 161-8495,91030736,Nursing,BSN (Clinical Nursing),2024
S875935868,198,(647) 525-5341,james.jones@hotmail.com,James,Jones,(647) 525-5341,87490893,Psychology,MS (Industrial Psychology),2025
S702202126,183,(276) 483-5030,cynthia.ferguson@yahoo.com,Cynthia,Ferguson,(276) 483-5030,58966946,Geography,BS (Human Geography),2022
S322966171,238,(537) 672-4238,richard.jones@hotmail.com,Richard,Jones,(537) 672-4238,60929647,Chemistry,BS (Analytical Chemistry),2024
S965687203,133,(653) 287-1012,jose.richards@hotmail.com,Jose,Richards,(653) 287-1012,45935572,Anthropology,BS (Cultural Anthropology),2024
S298363942,481,(978) 480-1845,ernest.becker@gmail.com,Ernest,Becker,(978) 480-1845,43101783,Art,BS (Visual Arts),2023
S525832950,540,(482) 814-8932,kelly.moore@yahoo.com,Kelly,Moore,(482) 814-8932,16323852,Computer Science,BS (Artificial Intelligence),2024
S167403959,448,(015) 430-3911,kathryn.ryan@hotmail.com,Kathryn,Ryan,(015) 430-3911,11540956,Philosophy,BS (Ethics and Logic),2025
S765261449,597,(248) 963-8346,todd.jones@hotmail.com,Todd,Jones,(248) 963-8346,45351479,Business,MBA (International Business),2025
S519826617,588,(509) 839-3010,debra.kim@gmail.com,Debra,Kim,(509) 839-3010,82394227,Law,BS (Corporate Law),2025
S750309883,223,(382) 997-3763,carlos.johnson@gmail.com,Carlos,Johnson,(382) 997-3763,17774584,Business,MBA (International Business),2024
S890407714,184,(651) 333-8726,collin.jordan@gmail.com,Collin,Jordan,(651) 333-8726,83793389,Theology,BS (Religious Studies),2022
S284257239,291,(781) 080-1326,joshua.wright@yahoo.com,Joshua,Wright,(781) 080-1326,97225156,Art,BS (Visual Arts),2025
S451235220,130,(260) 647-4687,timothy.hancock@gmail.com,Timothy,Hancock,(260) 647-4687,94705205,Theology,BS (Religious Studies),2022
S298026219,395,(980) 500-9788,james.robinson@gmail.com,James,Robinson,(980) 500-9788,86644106,Linguistics,MS (Applied Linguistics),2024
S478104447,430,(191) 361-9399,brian.romero@gmail.com,Brian,Romero,(191) 361-9399,97705310,Theology,BS (Religious Studies),2024
S043821442,547,(985) 435-3462,christine.barnes@hotmail.com,Christine,Barnes,(985) 435-3462,43528453,Biology,BS (Molecular Biology),2023
S948509899,185,(118) 384-2513,debbie.bryant@yahoo.com,Debbie,Bryant,(118) 384-2513,41726318,Nursing,BSN (Clinical Nursing),2025
S448910397,316,(498) 084-1241,justin.kim@gmail.com,Justin,Kim,(498) 084-1241,48285503,History,BS (Modern History),2023
S677641207,482,(487) 401-6400,julia.moore@yahoo.com,Julia,Moore,(487) 401-6400,18181586,Economics,BS (Development Economics),2024
S304950580,445,(680) 112-8059,kellie.walsh@hotmail.com,Kellie,Walsh,(680) 112-8059,19121552,Linguistics,MS (Applied Linguistics),2024
S849550065,578,(315) 869-2322,earl.anderson@yahoo.com,Earl,Anderson,(315) 869-2322,52462441,Statistics,BS (Statistical Modelling),2022
S263216499,334,(607) 337-5433,angel.doyle@gmail.com,Angel,Doyle,(607) 337-5433,11250299,Linguistics,MS (Applied Linguistics),2023
S650551302,180,(868) 501-4294,donna.ross@gmail.com,Donna,Ross,(868) 501-4294,48250360,Chemistry,BS (Analytical Chemistry),2023
S453985659,580,(169) 340-6088,daniel.hamilton@hotmail.com,Daniel,Hamilton,(169) 340-6088,23903144,Engineering,BS (Mechanical Engineering),2023
S828712236,358,(951) 484-6564,jennifer.harmon@hotmail.com,Jennifer,Harmon,(951) 484-6564,45431319,Mathematics,BS (Pure Mathematics),2025
S498042076,182,(680) 443-6995,david.fisher@yahoo.com,David,Fisher,(680) 443-6995,45159040,History,BS (Modern History),2022
S754008958,382,(951) 343-3200,scott.lowe@gmail.com,Scott,Lowe,(951) 343-3200,88183110,Mathematics,BS (Pure Mathematics),2024
S113878822,281,(676) 320-1632,tracey.carr@hotmail.com,Tracey,Carr,(676) 320-1632,23796726,Political Science,BS (Political Theory),2025
S784619898,112,(172) 788-9579,april.williams@hotmail.com,April,Williams,(172) 788-9579,65337219,Law,BS (Corporate Law),2024
S197467217,546,(727) 743-4873,patricia.simmons@yahoo.com,Patricia,Simmons,(727) 743-4873,61343880,Business,MBA (International Business),2025
S041938826,268,(455) 812-2362,scott.reeves@hotmail.com,Scott,Reeves,(455) 812-2362,63481198,Computer Science,BS (Artificial Intelligence),2024
S207356830,191,(669) 096-7054,jason.perry@yahoo.com,Jason,Perry,(669) 096-7054,45059710,Geography,BS (Human Geography),2023
S590537491,197,(346) 706-5627,melissa.ashley@gmail.com,Melissa,Ashley,(346) 706-5627,87388337,Philosophy,BS (Ethics and Logic),2024
S270957763,585,(627) 204-6537,tina.ferguson@yahoo.com,Tina,Ferguson,(627) 204-6537,19391725,Philosophy,BS (Ethics and Logic),2024
S633873344,383,(708) 053-1003,matthew.hobbs@gmail.com,Matthew,Hobbs,(708) 053-1003,49682169,Philosophy,BS (Ethics and Logic),2022
S149696350,207,(271) 937-4529,mary.howell@hotmail.com,Mary,Howell,(271) 937-4529,48508907,Philosophy,BS (Ethics and Logic),2022
S456442497,437,(496) 631-9314,tamara.higgins@hotmail.com,Tamara,Higgins,(496) 631-9314,32775593,Physics,BS (Theoretical Physics),2024
S056387621,123,(058) 651-8506,caroline.martinez@yahoo.com,Caroline,Martinez,(058) 651-8506,13278320,Economics,BS (Development Economics),2024
S248046164,175,(849) 877-6945,daniel.yu@gmail.com,Daniel,Yu,(849) 877-6945,42747037,Computer Science,BS (Artificial Intelligence),2025
S607714195,385,(965) 075-2735,mariah.miller@yahoo.com,Mariah,Miller,(965) 075-2735,16740197,Statistics,BS (Statistical Modelling),2022
S284869598,517,(831) 367-8377,matthew.beard@yahoo.com,Matthew,Beard,(831) 367-8377,92228802,Nursing,BSN (Clinical Nursing),2024
S758587422,241,(634) 957-8856,laura.davis@hotmail.com,Laura,Davis,(634) 957-8856,95585469,Linguistics,MS (Applied Linguistics),2025
S756202235,177,(313) 518-2337,andrea.bell@yahoo.com,Andrea,Bell,(313) 518-2337,28572252,Education,BS (Curriculum Studies),2022
S267045424,584,(352) 408-2400,jenny.bray@hotmail.com,Jenny,Bray,(352) 408-2400,88393811,Art,BS (Visual Arts),2024
S687303789,375,(477) 752-0471,kelly.raymond@gmail.com,Kelly,Raymond,(477) 752-0471,66240084,Mathematics,BS (Pure Mathematics),2024
S756224036,470,(941) 318-6999,crystal.brown@gmail.com,Crystal,Brown,(941) 318-6999,64266464,Philosophy,BS (Ethics and Logic),2024
S141603506,543,(499) 091-3341,kimberly.james@gmail.com,Kimberly,James,(499) 091-3341,28213276,English,BS (English Literature),2025
S403237378,527,(067) 974-0344,john.arnold@hotmail.com,John,Arnold,(067) 974-0344,43859311,Biology,BS (Molecular Biology),2024
S005936767,202,(493) 618-3242,michele.jones@gmail.com,Michele,Jones,(493) 618-3242,43189803,Nursing,BSN (Clinical Nursing),2024
S862419423,410,(174) 648-8771,brian.sparks@hotmail.com,Brian,Sparks,(174) 648-8771,91321540,Nursing,BSN (Clinical Nursing),2025
S977135959,303,(990) 490-2787,bill.reynolds@yahoo.com,Bill,Reynolds,(990) 490-2787,60372847,History,BS (Modern History),2024
S915826368,500,(655) 125-6746,howard.richards@hotmail.com,Howard,Richards,(655) 125-6746,85958181,Sociology,BS (Social Research),2024
S056060444,425,(808) 760-3859,benjamin.miller@yahoo.com,Benjamin,Miller,(808) 760-3859,58612055,Computer Science,BS (Artificial Intelligence),2025
S841156697,323,(482) 477-1093,colleen.wolf@hotmail.com,Colleen,Wolf,(482) 477-1093,72394301,Linguistics,MS (Applied Linguistics),2024
S853292475,294,(613) 171-2748,eric.pierce@hotmail.com,Eric,Pierce,(613) 171-2748,99682738,Philosophy,BS (Ethics and Logic),2025
S343432258,105,(639) 821-4658,joshua.davenport@yahoo.com,Joshua,Davenport,(639) 821-4658,84597009,Environmental Science,BS (Environmental Policy),2023
S512452474,147,(787) 558-8675,lori.campbell@gmail.com,Lori,Campbell,(787) 558-8675,12314351,Chemistry,BS (Analytical Chemistry),2022
S242635395,459,(766) 270-2895,tina.allen@gmail.com,Tina,Allen,(766) 270-2895,57219209,English,BS (English Literature),2022
S432737961,241,(174) 596-1586,morgan.alexander@yahoo.com,Morgan,Alexander,(174) 596-1586,74988034,Anthropology,BS (Cultural Anthropology),2023
S795211210,164,(343) 161-1724,courtney.clay@gmail.com,Courtney,Clay,(343) 161-1724,81690398,Law,BS (Corporate Law),2022
S295618485,345,(386) 922-2196,brandon.flynn@hotmail.com,Brandon,Flynn,(386) 922-2196,73001391,Statistics,BS (Statistical Modelling),2022
S410948406,177,(237) 474-0748,felicia.jimenez@gmail.com,Felicia,Jimenez,(237) 474-0748,17195288,Statistics,BS (Statistical Modelling),2023
S153917672,294,(464) 743-6713,charles.landry@yahoo.com,Charles,Landry,(464) 743-6713,80138498,Mathematics,BS (Pure Mathematics),2025
S448936679,420,(409) 097-4395,ashley.andrews@gmail.com,Ashley,Andrews,(409) 097-4395,37888820,Anthropology,BS (Cultural Anthropology),2025
S261100452,247,(095) 214-5623,dana.oliver@gmail.com,Dana,Oliver,(095) 214-5623,41068214,Anthropology,BS (Cultural Anthropology),2024
S774697669,158,(247) 451-7123,kristin.walter@hotmail.com,Kristin,Walter,(247) 451-7123,67061186,Environmental Science,BS (Environmental Policy),2022
S569801375,324,(516) 048-1754,jennifer.whitney@hotmail.com,Jennifer,Whitney,(516) 048-1754,48736657,Nursing,BSN (Clinical Nursing),2022
S166954004,409,(098) 593-1746,parker.little@gmail.com,Parker,Little,(098) 593-1746,53261270,Economics,BS (Development Economics),2025
S209859962,490,(826) 758-6926,donald.shah@hotmail.com,Donald,Shah,(826) 758-6926,15399803,Engineering,BS (Mechanical Engineering),2022
S746915640,309,(735) 158-5064,corey.burns@gmail.com,Corey,Burns,(735) 158-5064,56702542,History,BS (Modern History),2024
S368362985,145,(005) 329-3183,tammy.rush@hotmail.com,Tammy,Rush,(005) 329-3183,71045700,Engineering,BS (Mechanical Engineering),2023
S339459654,365,(284) 210-2053,jason.kane@hotmail.com,Jason,Kane,(284) 210-2053,35176902,History,BS (Modern History),2023
S376725946,114,(268) 117-7589,mario.thompson@gmail.com,Mario,Thompson,(268) 117-7589,26297533,Physics,BS (Theoretical Physics),2024
S962155099,584,(700) 766-1771,shannon.walker@gmail.com,Shannon,Walker,(700) 766-1771,71934487,Biology,BS (Molecular Biology),2024
S184752892,174,(499) 856-9847,marc.hernandez@hotmail.com,Marc,Hernandez,(499) 856-9847,83989546,Physics,BS (Theoretical Physics),2024
S395882749,236,(673) 657-6615,catherine.garcia@yahoo.com,Catherine,Garcia,(673) 657-6615,78147397,Art,BS (Visual Arts),2022
S822594153,490,(711) 116-1528,larry.scott@gmail.com,Larry,Scott,(711) 116-1528,84077101,Economics,BS (Development Economics),2024
S543165270,461,(494) 519-8327,brenda.hoffman@gmail.com,Brenda,Hoffman,(494) 519-8327,73481797,History,BS (Modern History),2023
S939761919,545,(514) 936-8998,melanie.bell@gmail.com,Melanie,Bell,(514) 936-8998,54559574,Business,MBA (International Business),2024
S180901890,273,(445) 502-2961,chelsea.barrett@gmail.com,Chelsea,Barrett,(445) 502-2961,45570755,Computer Science,BS (Artificial Intelligence),2025
S630365968,546,(836) 675-2545,joyce.bonilla@hotmail.com,Joyce,Bonilla,(836) 675-2545,75491202,Mathematics,BS (Pure Mathematics),2024
S562622097,327,(290) 147-6797,caitlyn.ware@yahoo.com,Caitlyn,Ware,(290) 147-6797,23489853,Psychology,MS (Industrial Psychology),2024
S120303424,187,(561) 497-8403,joshua.fischer@yahoo.com,Joshua,Fischer,(561) 497-8403,34166826,Environmental Science,BS (Environmental Policy),2022
S163645264,104,(076) 226-8388,james.dougherty@hotmail.com,James,Dougherty,(076) 226-8388,99501846,Education,BS (Curriculum Studies),2023
S842509929,333,(159) 696-6416,linda.jones@gmail.com,Linda,Jones,(159) 696-6416,43567615,Law,BS (Corporate Law),2023
S813425592,302,(613) 696-8164,tammy.jackson@hotmail.com,Tammy,Jackson,(613) 696-8164,98346110,Economics,BS (Development Economics),2025
S256706492,410,(181) 883-5523,matthew.cook@gmail.com,Matthew,Cook,(181) 883-5523,40885967,Environmental Science,BS (Environmental Policy),2024
S821277610,430,(779) 979-9552,dwayne.gonzalez@yahoo.com,Dwayne,Gonzalez,(779) 979-9552,94216001,Sociology,BS (Social Research),2025
S070319342,548,(814) 770-0541,carlos.ramos@hotmail.com,Carlos,Ramos,(814) 770-0541,82398083,Psychology,MS (Industrial Psychology),2022
S959828487,511,(798) 079-3597,michelle.wyatt@hotmail.com,Michelle,Wyatt,(798) 079-3597,55461591,Music,BS (Music Composition),2024
