sjsu_id,email,first_name,last_name,role,password
S339459654,jason.kane@hotmail.com,Jason,Kane,student,Welcome@175
S376725946,mario.thompson@gmail.com,Mario,Thompson,student,Welcome@176
S962155099,shannon.walker@gmail.com,Shannon,Walker,student,Welcome@177
S184752892,marc.hernandez@hotmail.com,Marc,Hernandez,student,Welcome@178
S395882749,catherine.garcia@yahoo.com,Catherine,Garcia,student,Welcome@179
S822594153,larry.scott@gmail.com,Larry,Scott,student,Welcome@180
S543165270,brenda.hoffman@gmail.com,Brenda,Hoffman,student,Welcome@181
S939761919,melanie.bell@gmail.com,Melanie,Bell,student,Welcome@182
S180901890,chelsea.barrett@gmail.com,Chelsea,Barrett,student,Welcome@183
S630365968,joyce.bonilla@hotmail.com,Joyce,Bonilla,student,Welcome@184
S562622097,caitlyn.ware@yahoo.com,Caitlyn,Ware,student,Welcome@185
S120303424,joshua.fischer@yahoo.com,Joshua,Fischer,student,Welcome@186
S163645264,james.dougherty@hotmail.com,James,Dougherty,student,Welcome@187
S842509929,linda.jones@gmail.com,Linda,Jones,student,Welcome@188
S813425592,tammy.jackson@hotmail.com,Tammy,Jackson,student,Welcome@189
S256706492,matthew.cook@gmail.com,Matthew,Cook,student,Welcome@190
S821277610,dwayne.gonzalez@yahoo.com,Dwayne,Gonzalez,student,Welcome@191
S070319342,carlos.ramos@hotmail.com,Carlos,Ramos,student,Welcome@192
S959828487,michelle.wyatt@hotmail.com,Michelle,Wyatt,student,Welcome@193
S191987998,edward.brown@hotmail.com,Edward,Brown,student,Welcome@194
S705466589,erik.watson@gmail.com,Erik,Watson,student,Welcome@195
S208592089,mathew.aguilar@gmail.com,Mathew,Aguilar,student,Welcome@196
S419340814,elizabeth.calderon@gmail.com,Elizabeth,Calderon,student,Welcome@197
S794714044,eric.phillips@gmail.com,Eric,Phillips,student,Welcome@198
S624239396,henry.schwartz@yahoo.com,Henry,Schwartz,student,Welcome@199
S299802690,tammy.mueller@gmail.com,Tammy,Mueller,student,Welcome@200
S972855827,laurie.taylor@gmail.com,Laurie,Taylor,student,Welcome@201
S299571813,renee.velasquez@gmail.com,Renee,Velasquez,student,Welcome@202
S310757475,mary.santos@gmail.com,Mary,Santos,student,Welcome@203
S590785490,jonathan.conley@yahoo.com,Jonathan,Conley,student,Welcome@204
S464900602,danielle.dean@yahoo.com,Danielle,Dean,student,Welcome@205
S539546078,aaron.gomez@hotmail.com,Aaron,Gomez,student,Welcome@206
S772423440,andrew.marks@hotmail.com,Andrew,Marks,student,Welcome@207
S631908007,katherine.anderson@gmail.com,Katherine,Anderson,student,Welcome@208
S095648949,nina.stewart@yahoo.com,Nina,Stewart,student,Welcome@209
S231514835,pamela.paul@yahoo.com,Pamela,Paul,student,Welcome@210
S224576656,manuel.miller@gmail.com,Manuel,Miller,student,Welcome@211
S602793116,emily.sullivan@gmail.com,Emily,Sullivan,student,Welcome@212
S790534133,erika.rush@yahoo.com,Erika,Rush,student,Welcome@213
S001662644,april.mcintyre@gmail.com,April,Mcintyre,student,Welcome@214
S714264603,shannon.roach@gmail.com,Shannon,Roach,student,Welcome@215
S032123071,tracie.conner@gmail.com,Tracie,Conner,student,Welcome@216
S758808009,cameron.sanders@gmail.com,Cameron,Sanders,student,Welcome@217
S446249194,natalie.deleon@yahoo.com,Natalie,Deleon,student,Welcome@218
S414408727,stacey.stone@gmail.com,Stacey,Stone,student,Welcome@219
S651739611,george.weber@yahoo.com,George,Weber,student,Welcome@220
S117096455,pamela.gardner@yahoo.com,Pamela,Gardner,student,Welcome@221
S668610432,catherine.edwards@yahoo.com,Catherine,Edwards,student,Welcome@222
S534080886,kelly.cruz@yahoo.com,Kelly,Cruz,student,Welcome@223
S457848634,william.levy@gmail.com,William,Levy,student,Welcome@224
S018375124,nicole.luna@hotmail.com,Nicole,Luna,student,Welcome@225
S513243576,joshua.hays@gmail.com,Joshua,Hays,student,Welcome@226
S062769835,mason.wells@hotmail.com,Mason,Wells,student,Welcome@227
S396359337,maria.patel@yahoo.com,Maria,Patel,student,Welcome@228
S799906503,tammy.patton@gmail.com,Tammy,Patton,student,Welcome@229
S942108178,edward.vaughn@hotmail.com,Edward,Vaughn,student,Welcome@230
S686511669,kelsey.le@yahoo.com,Kelsey,Le,student,Welcome@231
S462427453,michael.peck@yahoo.com,Michael,Peck,student,Welcome@232
S839942359,diana.burgess@gmail.com,Diana,Burgess,student,Welcome@233
S680439751,brent.stein@gmail.com,Brent,Stein,student,Welcome@234
S145809889,richard.donovan@gmail.com,Richard,Donovan,student,Welcome@235
S333023073,wendy.sanders@gmail.com,Wendy,Sanders,student,Welcome@236
S094874690,melissa.mcdonald@hotmail.com,Melissa,Mcdonald,student,Welcome@237
S196472126,melissa.prince@yahoo.com,Melissa,Prince,student,Welcome@238
S084565720,stephanie.turner@hotmail.com,Stephanie,Turner,student,Welcome@239
S516539575,sabrina.phillips@gmail.com,Sabrina,Phillips,student,Welcome@240
S803373026,erin.larson@gmail.com,Erin,Larson,student,Welcome@241
S571336869,mark.meyer@yahoo.com,Mark,Meyer,student,Welcome@242
S117902783,stephen.brown@gmail.com,Stephen,Brown,student,Welcome@243
S384062806,sarah.jones@hotmail.com,Sarah,Jones,student,Welcome@244
S744493163,michelle.wilson@hotmail.com,Michelle,Wilson,student,Welcome@245
S870685306,nicolas.hall@hotmail.com,Nicolas,Hall,student,Welcome@246
S646308392,arthur.harper@hotmail.com,Arthur,Harper,student,Welcome@247
S645710864,barbara.ray@yahoo.com,Barbara,Ray,student,Welcome@248
S263901434,brandon.cooper@hotmail.com,Brandon,Cooper,student,Welcome@249
S133290159,drew.ford@yahoo.com,Drew,Ford,student,Welcome@250
S772669210,deborah.nielsen@gmail.com,Deborah,Nielsen,student,Welcome@251
S798996752,timothy.booth@yahoo.com,Timothy,Booth,student,Welcome@252
S177132972,amanda.howard@gmail.com,Amanda,Howard,student,Welcome@253
S354918037,joyce.smith@gmail.com,Joyce,Smith,student,Welcome@254
S445130451,victor.pena@gmail.com,Victor,Pena,student,Welcome@255
S571588531,lisa.williams@gmail.com,Lisa,Williams,student,Welcome@256
S952019266,christine.estrada@gmail.com,Christine,Estrada,student,Welcome@257
S655169390,wayne.wolfe@yahoo.com,Wayne,Wolfe,student,Welcome@258
S065674646,stephen.sanchez@gmail.com,Stephen,Sanchez,student,Welcome@259
S948620044,vincent.hamilton@gmail.com,Vincent,Hamilton,student,Welcome@260
S637789135,suzanne.matthews@gmail.com,Suzanne,Matthews,student,Welcome@261
S422023628,connor.hall@gmail.com,Connor,Hall,student,Welcome@262
S353745430,michael.pugh@yahoo.com,Michael,Pugh,student,Welcome@263
S425025862,kyle.ward@yahoo.com,Kyle,Ward,student,Welcome@264
S112340053,angela.carlson@yahoo.com,Angela,Carlson,student,Welcome@265
S345866103,joseph.thomas@hotmail.com,Joseph,Thomas,student,Welcome@266
S971550134,christina.ellis@hotmail.com,Christina,Ellis,student,Welcome@267
S653619723,terri.taylor@yahoo.com,Terri,Taylor,student,Welcome@268
S454031438,daniel.elliott@hotmail.com,Daniel,Elliott,student,Welcome@269
S526952045,victor.schultz@hotmail.com,Victor,Schultz,student,Welcome@270
S816091031,william.knapp@hotmail.com,William,Knapp,student,Welcome@271
S564877559,tonya.byrd@yahoo.com,Tonya,Byrd,student,Welcome@272
S394556868,peter.barton@hotmail.com,Peter,Barton,student,Welcome@273
S492299776,donald.collins@gmail.com,Donald,Collins,student,Welcome@274
S459725583,melinda.wong@yahoo.com,Melinda,Wong,student,Welcome@275
S710909672,anthony.mendez@gmail.com,Anthony,Mendez,student,Welcome@276
S961652656,lauren.herrera@gmail.com,Lauren,Herrera,student,Welcome@277
S471705949,michael.bruce@hotmail.com,Michael,Bruce,student,Welcome@278
S672207627,donald.price@gmail.com,Donald,Price,student,Welcome@279
S948908717,leonard.hayes@hotmail.com,Leonard,Hayes,student,Welcome@280
S026934658,travis.mckinney@yahoo.com,Travis,Mckinney,student,Welcome@281
S528376703,ariel.barton@gmail.com,Ariel,Barton,student,Welcome@282
S616644340,jill.valdez@hotmail.com,Jill,Valdez,student,Welcome@283
S322279370,brianna.bell@hotmail.com,Brianna,Bell,student,Welcome@284
S601345873,gary.werner@gmail.com,Gary,Werner,student,Welcome@285
S926211764,kathleen.lowe@yahoo.com,Kathleen,Lowe,student,Welcome@286
S456227804,brandi.melton@hotmail.com,Brandi,Melton,student,Welcome@287
S918925184,becky.knight@hotmail.com,Becky,Knight,student,Welcome@288
S505845404,kevin.baxter@gmail.com,Kevin,Baxter,student,Welcome@289
S020204750,brittney.stone@yahoo.com,Brittney,Stone,student,Welcome@290
S421167938,michael.evans@hotmail.com,Michael,Evans,student,Welcome@291
S930981819,peggy.taylor@hotmail.com,Peggy,Taylor,student,Welcome@292
S198794743,carolyn.griffith@gmail.com,Carolyn,Griffith,student,Welcome@293
S411870669,victor.wheeler@gmail.com,Victor,Wheeler,student,Welcome@294
S210570742,bruce.mccormick@gmail.com,Bruce,Mccormick,student,Welcome@295
S805287356,mark.willis@gmail.com,Mark,Willis,student,Welcome@296
S316230989,alexander.taylor@hotmail.com,Alexander,Taylor,student,Welcome@297
S449967341,olivia.wise@hotmail.com,Olivia,Wise,student,Welcome@298
S748378959,michael.porter@gmail.com,Michael,Porter,student,Welcome@299
S122698071,brandon.cox@gmail.com,Brandon,Cox,student,Welcome@300
S668177548,jeffrey.black@yahoo.com,Jeffrey,Black,student,Welcome@301
S909919426,steven.vargas@hotmail.com,Steven,Vargas,student,Welcome@302
S957353254,jessica.garcia@gmail.com,Jessica,Garcia,student,Welcome@303
S948934521,preston.vargas@yahoo.com,Preston,Vargas,student,Welcome@304
S954133846,jesus.harding@hotmail.com,Jesus,Harding,student,Welcome@305
S747747315,michael.townsend@hotmail.com,Michael,Townsend,student,Welcome@306
S899580800,john.kelly@gmail.com,John,Kelly,student,Welcome@307
S601240699,bryan.norman@gmail.com,Bryan,Norman,student,Welcome@308
S054075256,james.brewer@yahoo.com,James,Brewer,student,Welcome@309
S919526237,anthony.vega@hotmail.com,Anthony,Vega,student,Welcome@310
S942628096,robert.pierce@yahoo.com,Robert,Pierce,student,Welcome@311
S434670863,amy.washington@yahoo.com,Amy,Washington,student,Welcome@312
S502884009,brian.frey@gmail.com,Brian,Frey,student,Welcome@313
S618021889,joel.stewart@gmail.com,Joel,Stewart,student,Welcome@314
S558653776,christopher.hall@yahoo.com,Christopher,Hall,student,Welcome@315
S730206659,janet.thomas@gmail.com,Janet,Thomas,student,Welcome@316
S674253153,theresa.oconnor@hotmail.com,Theresa,Oconnor,student,Welcome@317
S770176731,stacy.myers@yahoo.com,Stacy,Myers,student,Welcome@318
S332114540,gary.mcclure@hotmail.com,Gary,Mcclure,student,Welcome@319
S053323099,jessica.costa@yahoo.com,Jessica,Costa,student,Welcome@320
S561221122,matthew.barron@hotmail.com,Matthew,Barron,student,Welcome@321
S226511393,craig.harris@hotmail.com,Craig,Harris,student,Welcome@322
S833889139,andrea.henry@gmail.com,Andrea,Henry,student,Welcome@323
S399264523,george.carter@gmail.com,George,Carter,student,Welcome@324
S155565947,nathan.james@gmail.com,Nathan,James,student,Welcome@325
S268744626,karen.contreras@hotmail.com,Karen,Contreras,student,Welcome@326
S345559840,gloria.mayer@hotmail.com,Gloria,Mayer,student,Welcome@327
S856076360,stacy.cole@yahoo.com,Stacy,Cole,student,Welcome@328
S693710275,luis.acosta@hotmail.com,Luis,Acosta,student,Welcome@329
S437553014,cindy.mills@yahoo.com,Cindy,Mills,student,Welcome@330
S873375307,patrick.washington@gmail.com,Patrick,Washington,student,Welcome@331
S007031897,julie.mccall@hotmail.com,Julie,Mccall,student,Welcome@332
S534476163,jacob.lewis@gmail.com,Jacob,Lewis,student,Welcome@333
S153727801,nancy.gonzalez@yahoo.com,Nancy,Gonzalez,student,Welcome@334
S311649333,brooke.thompson@gmail.com,Brooke,Thompson,student,Welcome@335
S341689563,joseph.ortiz@hotmail.com,Joseph,Ortiz,student,Welcome@336
S131355445,tammy.day@hotmail.com,Tammy,Day,student,Welcome@337
S954134030,deborah.lynch@hotmail.com,Deborah,Lynch,student,Welcome@338
S895464840,richard.flores@gmail.com,Richard,Flores,student,Welcome@339
S722514775,gina.little@hotmail.com,Gina,Little,student,Welcome@340
S178380759,julie.parker@gmail.com,Julie,Parker,student,Welcome@341
S872943849,mikayla.james@yahoo.com,Mikayla,James,student,Welcome@342
S853761122,joshua.juarez@yahoo.com,Joshua,Juarez,student,Welcome@343
S325372289,alexis.morris@gmail.com,Alexis,Morris,student,Welcome@344
S979981827,kenneth.carter@gmail.com,Kenneth,Carter,student,Welcome@345
S831663077,jessica.lawrence@hotmail.com,Jessica,Lawrence,student,Welcome@346
S768445880,daniel.huff@hotmail.com,Daniel,Huff,student,Welcome@347
S630524228,abigail.dean@yahoo.com,Abigail,Dean,student,Welcome@348
S554360074,marie.dudley@gmail.com,Marie,Dudley,student,Welcome@349
S840926161,mary.caldwell@gmail.com,Mary,Caldwell,student,Welcome@350
S623913362,cory.thompson@yahoo.com,Cory,Thompson,student,Welcome@351
S704126068,christy.johns@yahoo.com,Christy,Johns,student,Welcome@352
S103713817,deborah.robles@hotmail.com,Deborah,Robles,student,Welcome@353
S915064761,noah.howard@gmail.com,Noah,Howard,student,Welcome@354
S680175393,janet.gregory@hotmail.com,Janet,Gregory,student,Welcome@355
S205667686,brian.schneider@gmail.com,Brian,Schneider,student,Welcome@356
S557208941,nicholas.montoya@hotmail.com,Nicholas,Montoya,student,Welcome@357
S559991853,denise.garcia@gmail.com,Denise,Garcia,student,Welcome@358
S490502993,megan.rivera@hotmail.com,Megan,Rivera,student,Welcome@359
S774465100,travis.underwood@gmail.com,Travis,Underwood,student,Welcome@360
S853686067,sara.monroe@hotmail.com,Sara,Monroe,student,Welcome@361
S291606610,savannah.roberson@hotmail.com,Savannah,Roberson,student,Welcome@362
S043582378,kathryn.hill@hotmail.com,Kathryn,Hill,student,Welcome@363
S834529645,kelly.reed@gmail.com,Kelly,Reed,student,Welcome@364
S811786170,alexandra.johnson@gmail.com,Alexandra,Johnson,student,Welcome@365
S039190876,miranda.stevenson@hotmail.com,Miranda,Stevenson,student,Welcome@366
S293851602,brian.manning@yahoo.com,Brian,Manning,student,Welcome@367
S904283502,gregory.fleming@gmail.com,Gregory,Fleming,student,Welcome@368
S364547197,brandy.scott@hotmail.com,Brandy,Scott,student,Welcome@369
S042388906,jeffrey.white@hotmail.com,Jeffrey,White,student,Welcome@370
